"Timestamp","servingcell_RSSI","RSSI","RSRP","RSRQ"
"2024-08-29 14:41:14","-51","-52","-82","-14"
"2024-08-29 14:41:15","-51","-49","-82","-14"
"2024-08-29 14:41:16","-51","-50","-82","-14"
"2024-08-29 14:41:17","-51","-51","-82","-14"
"2024-08-29 14:41:18","-51","-51","-82","-14"
"2024-08-29 14:41:19","-51","-49","-82","-13"
"2024-08-29 14:41:20","-51","-53","-82","-11"
"2024-08-29 14:41:21","-51","-50","-82","-13"
"2024-08-29 14:41:22","-51","-53","-82","-12"
"2024-08-29 14:41:24","-51","-50","-82","-13"
"2024-08-29 14:41:25","-51","-50","-81","-12"
"2024-08-29 14:41:26","-51","-52","-82","-11"
"2024-08-29 14:41:27","-51","-52","-82","-12"
"2024-08-29 14:41:28","-51","-48","-82","-13"
"2024-08-29 14:41:29","-51","-50","-81","-13"
"2024-08-29 14:41:30","-51","-50","-82","-14"
"2024-08-29 14:41:31","-51","-52","-82","-13"
"2024-08-29 14:41:32","-51","-55","-82","-12"
"2024-08-29 14:41:33","-51","-50","-82","-12"
"2024-08-29 14:41:34","-51","-49","-81","-14"
"2024-08-29 14:41:35","-51","-50","-82","-13"
"2024-08-29 14:41:36","-51","-49","-82","-14"
"2024-08-29 14:41:37","-51","-50","-82","-13"
"2024-08-29 14:41:38","-51","-52","-82","-13"
"2024-08-29 14:41:39","-51","-51","-82","-14"
"2024-08-29 14:41:40","-51","-55","-82","-14"
"2024-08-29 14:41:41","-51","-50","-82","-15"
"2024-08-29 14:41:42","-51","-51","-82","-14"
"2024-08-29 14:41:44","-51","-53","-82","-11"
"2024-08-29 14:41:45","-51","-49","-81","-12"
"2024-08-29 14:41:46","-51","-54","-82","-11"
"2024-08-29 14:41:47","-51","-51","-82","-12"
"2024-08-29 14:41:48","-51","-50","-82","-13"
"2024-08-29 14:41:49","-51","-50","-82","-13"
"2024-08-29 14:41:50","-51","-54","-82","-11"
"2024-08-29 14:41:51","-55","-49","-82","-13"
"2024-08-29 14:41:52","-55","-51","-82","-14"
"2024-08-29 14:41:53","-55","-50","-81","-11"
"2024-08-29 14:41:54","-55","-52","-82","-14"
"2024-08-29 14:41:55","-55","-49","-82","-13"
"2024-08-29 14:41:56","-55","-50","-82","-14"
"2024-08-29 14:41:57","-51","-56","-83","-13"
"2024-08-29 14:41:58","-51","-55","-81","-13"
"2024-08-29 14:41:59","-53","-51","-82","-14"
"2024-08-29 14:42:00","-53","-51","-82","-14"
"2024-08-29 14:42:01","-53","-52","-82","-13"
"2024-08-29 14:42:02","-53","-52","-82","-13"
"2024-08-29 14:42:04","-53","-55","-82","-12"
"2024-08-29 14:42:05","-53","-51","-82","-12"
"2024-08-29 14:42:06","-55","-55","-82","-11"
"2024-08-29 14:42:07","-55","-50","-82","-13"
"2024-08-29 14:42:08","-55","-50","-82","-12"
"2024-08-29 14:42:09","N/A","-56","-82","-12"
"2024-08-29 14:42:11","-51","-54","-82","-12"
"2024-08-29 14:42:12","-55","-50","-82","-13"
"2024-08-29 14:42:13","-55","-51","-82","-14"
"2024-08-29 14:42:14","-55","-52","-81","-12"
"2024-08-29 14:42:15","-51","-50","-81","-12"
"2024-08-29 14:42:16","-51","-53","-81","-11"
"2024-08-29 14:42:17","-51","-51","-82","-12"
"2024-08-29 14:42:18","-51","-54","-81","-12"
